wage,educ,educ2,educ3,educ4,educ5,age,age2,age3,age4,age5
788000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
850000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
9.00E+05,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1418000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
260000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
662000,14,196,2744,38416,537824,28,784,21952,614656,17210368
562000,13,169,2197,28561,371293,38,1444,54872,2085136,79235168
562000,12,144,1728,20736,248832,28,784,21952,614656,17210368
357000,13,169,2197,28561,371293,30,900,27000,810000,24300000
1009000,16,256,4096,65536,1048576,32,1024,32768,1048576,33554432
1442000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
651000,11,121,1331,14641,161051,29,841,24389,707281,20511149
750000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
754000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
7.00E+05,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
503000,11,121,1331,14641,161051,30,900,27000,810000,24300000
937000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
624000,10,100,1000,10000,100000,36,1296,46656,1679616,60466176
750000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
9.00E+05,14,196,2744,38416,537824,30,900,27000,810000,24300000
540000,10,100,1000,10000,100000,29,841,24389,707281,20511149
642000,13,169,2197,28561,371293,30,900,27000,810000,24300000
4.00E+05,15,225,3375,50625,759375,28,784,21952,614656,17210368
9.00E+05,10,100,1000,10000,100000,38,1444,54872,2085136,79235168
513000,16,256,4096,65536,1048576,33,1089,35937,1185921,39135393
894000,18,324,5832,104976,1889568,35,1225,42875,1500625,52521875
1282000,18,324,5832,104976,1889568,32,1024,32768,1048576,33554432
485000,12,144,1728,20736,248832,30,900,27000,810000,24300000
325000,12,144,1728,20736,248832,29,841,24389,707281,20511149
769000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
618000,14,196,2744,38416,537824,31,961,29791,923521,28629151
1040000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
751000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
380000,12,144,1728,20736,248832,30,900,27000,810000,24300000
3.00E+05,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
753000,10,100,1000,10000,100000,38,1444,54872,2085136,79235168
1065000,16,256,4096,65536,1048576,34,1156,39304,1336336,45435424
1070000,12,144,1728,20736,248832,30,900,27000,810000,24300000
1573000,18,324,5832,104976,1889568,34,1156,39304,1336336,45435424
650000,10,100,1000,10000,100000,30,900,27000,810000,24300000
7.00E+05,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
494000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
890000,12,144,1728,20736,248832,31,961,29791,923521,28629151
520000,10,100,1000,10000,100000,31,961,29791,923521,28629151
891000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
570000,12,144,1728,20736,248832,30,900,27000,810000,24300000
1444000,15,225,3375,50625,759375,29,841,24389,707281,20511149
481000,12,144,1728,20736,248832,31,961,29791,923521,28629151
5.00E+05,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1473000,16,256,4096,65536,1048576,36,1296,46656,1679616,60466176
803000,13,169,2197,28561,371293,28,784,21952,614656,17210368
962000,16,256,4096,65536,1048576,30,900,27000,810000,24300000
1.00E+06,12,144,1728,20736,248832,29,841,24389,707281,20511149
6.00E+05,16,256,4096,65536,1048576,30,900,27000,810000,24300000
450000,11,121,1331,14641,161051,30,900,27000,810000,24300000
629000,12,144,1728,20736,248832,30,900,27000,810000,24300000
492000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
1562000,17,289,4913,83521,1419857,32,1024,32768,1048576,33554432
357000,14,196,2744,38416,537824,28,784,21952,614656,17210368
960000,13,169,2197,28561,371293,32,1024,32768,1048576,33554432
566000,16,256,4096,65536,1048576,32,1024,32768,1048576,33554432
481000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
1442000,16,256,4096,65536,1048576,35,1225,42875,1500625,52521875
645000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
788000,11,121,1331,14641,161051,32,1024,32768,1048576,33554432
644000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
477000,12,144,1728,20736,248832,31,961,29791,923521,28629151
664000,16,256,4096,65536,1048576,34,1156,39304,1336336,45435424
520000,16,256,4096,65536,1048576,30,900,27000,810000,24300000
1202000,13,169,2197,28561,371293,31,961,29791,923521,28629151
538000,12,144,1728,20736,248832,28,784,21952,614656,17210368
873000,12,144,1728,20736,248832,28,784,21952,614656,17210368
1.00E+06,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
